X,Y,NUMBER,NAME,CH-NAME,STREET (SI,ST-Number,SCOPE OF B,Phone,Cable addr,Registered,Capital,Proprietor,CH-Proprie,Telegraphi,Other Note,Page in Di,
103.8525953,1.284121672,3197,GAMMETER & CO.,金勿打公司,Collyer Quay,16,Importers,2152,NA,1909,NA,Carl Ernest Richard,,,,232,
103.8529281,1.284968102,3421,GRAFTON LABORATORIES LTD.,古拉弗湯藥廠,Collyer Quay,20-B,Grafton Laboratories,NA,NA,1939,"$200,000",Alexander James Turnes,,,,247,
103.8529335,1.285039968,4585,HONGKONG & SHANGHAI BANKING CORPORATION,,Collyer Quay,21,,5937 (Private Branch Exchange).6135 Accountant.7851 Compradore.,,,,,,,,,
6135 Accountant,,,,,,,,,,,,,,,,,
"7851 Compradore""",Telegraphic Address: “PACIFIC”,NA,NA,Singapore Office: Manager C. L. Edwards,,,P. O. Box 896 Inc. in Hongkong. Head Office: Hongkong,,,,,,,,,,
London Office: 9,Gracechurch Street,E. C. 3,,,,,,,,,,,,,,,
BOARD OF DIRECTORS,,,,,,,,,,,,,,,,,
Chairman and Chief Manager: Hon. A. Morse,C. B. E,,,,,,,,,,,,,,,,
Dy. Chairman: Hon. D. F. Landale,,,,,,,,,,,,,,,,,
Dy. Chairman: H. D. Benham,,,,,,,,,,,,,,,,,
Dy. Chairman: C. Blaker,,,,,,,,,,,,,,,,,
,"337""",103.8526797,1.28356759,,Collyer Quay Union Winchester,/Users/qiaozhang/Desktop/sg old shops/gis/data/points/ABC/Collyer Quay Union Winchester.shp,,,,,,,,,,,
103.8529042,1.285151761,6200,KOON TAT & CO.,羣達公司,"Collyer Quay, Winchester House",31,General Merchants,NA,NA,1947,NA,Chua Teng Hwee,蔡廷輝,,,465,
103.8528163,1.285204995,1978,P. CHINNIAH,青尼亞,Collyer Quay,35,"Cigarettes, Cheroots, Sweets Dealers",NA,NA,1947,NA,Peyna Chinniah,,,,142,
103.8525128,1.283083597,,,,,,,,,,,,,,,,
103.8525834,1.28468862,3341,GLEN LINE LTD.,吉利航務有限公司,"Boustead & Co., Ltd., Union Building (Agents)",,"Shipowners, Ship Brokers, Insurance Etc",NA,NA,1910,"£225,000",Local Rep: Walker Frank Warrack,,,Inc. in England,242,
